startingleadership_title;Starting Leadership.;;;;;;;;;;;;x;;;
startingleadership_desc;Lets you start with some generals.;;;;;;;;;;;;x;;;
notechs_title;Starting Techs.;;;;;;;;;;;;x;;;
notechs_desc;If you don't have starting techs defines then this will give you some.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
demorus_title;Unite with the Russian Federal Republic.;;;;;;;;;;;;x;;;
demorus_desc;Some like minded groups have formed alongside us during the fall of the Soviet Union. Our differences are negligible and our relationship amiciable; we should unite!;;;;;;;;;;;;x;;;
westalaska_title;The West Alaskan Government forms!;;;;;;;;;;;;x;;;
westalaska_desc;After a lengthy process we have finally kicked the haunting vistages of communism out of the region. We can finally unite the people under a democratic flag. The Americans have been a continued source of economic assistance during this endeavor, what's more suitable than for us to declare ourselves the Republic of West Alaska!;;;;;;;;;;;;x;;;
ciafunding_title;American Funding.;;;;;;;;;;;;x;;;
ciafunding_desc;Some men from overseas today arrived and informed us that a few polititians in America believe there is something worth salvaging in the remains of Russia. They claim that if we pay a little lip service to the American government then they can convince these polititians to approve economic assistance to us.;;;;;;;;;;;;x;;;
shippurchase_title;American ship purchase.;;;;;;;;;;;;x;;;
shippurchase_desc;Our naval facilities cannot keep up with our larger neighbours; it is necessary to rely on our foreign friends to make up for the gap.;;;;;;;;;;;;x;;;
WA_capital_title;Pride of the Fleet.;;;;;;;;;;;;x;;;
WA_capital_desc;What we cannot make up for in quantity, we will make up for in quality! It is time we pool our resources towards a mighty ship worthwhile of being our pride!;;;;;;;;;;;;x;;;
Form_SCA_title;Form the North Sea Pragmatic Alliance.;;;;;;;;;;;;x;;;
Form_SCA_desc;Despite our differences all North Sea countries face perilous threats to our independence. We should unite for the purpose of mutual defense!;;;;;;;;;;;;x;;;
synthrubber_factory; Synthetic Rubber Factory;;;;;;;;;;;;x;;;
rus_uni;Russian Unification;;;;;;;;;;;;x;;;
rus_uni_short;Russian Unification of $STATE$;;;;;;;;;;;;x;;;
rus_uni_setup;Acquire $STATE$;;;;;;;;;;;;x;;;
tiny_conquest;Tiny Conquest;;;;;;;;;;;;x;;;
tiny_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
tiny_conquest_setup;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
acquire_capital;Take Capital;;;;;;;;;;;;x;;;
acquire_capital_short;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
acquire_capital_setup;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;x
bge_wp_title;Truce with Goring!;;;;;;;;;;;;x
bge_wp_desc;With the intervention of the rest of the German sphere there is now no reason for us to not set aside our differences and work together for now. We will propose to Goring that we cease our hostilities until Speer and Heydrich are dealt with.;;;;;;;;;;;;x
tibet_accept_title;Assimilate Tibet;;;;;;;;;;;;x
tibet_accept_desc;Tibet has long been our cultural cousins. It is time to bring them into the fold.;;;;;;;;;;;;x
turk_accept_title;Equal Rights to the Turkmen;;;;;;;;;;;;x
turk_accept_desc;Who is to say how far west China stops? Central Asia is still Asia, an thus our brethren.;;;;;;;;;;;;x
west_china_title;Unify the Chinese Remnants!;;;;;;;;;;;;x
west_china_desc;After a hard fought victory the free portions of China have finally reunited! It is time to look East.;;;;;;;;;;;;x
mongol_russia_title;Ideological Racism;;;;;;;;;;;;x
mongol_russia_desc;No longer will our people be separated by race! As said by Mao and Marx we are all unified by our class. No longer will our former Soviet cousins and us be treated as Russian and Mongolian, but rather one people; the Proletariat!;;;;;;;;;;;;x
form_alp_title;Unify the Alps!;;;;;;;;;;;;x
form_alp_desc;The Swiss and the North Italian live on two sides of the same mountain. Our differences are not too great that we cannot live together as one. This might upset some Italian politians' African posturing, but a shift of political focus north could greatly benefit us. §R This will prevent us from assimilating our African statesmen and vice versa.;;;;;;;;;;;;x
get_austria_title;North of the Alps.;;;;;;;;;;;;x
get_austria_desc;A little farther north of the Alps, along the river Danube, are many people with linguistic and cultural ties to the mountain life. These "High Germans" have been brought under our control and they must be our people!;;;;;;;;;;;;x
ita_assim_buffer;Italian Assimilation event buffer;;;;;;;;;;;;x
ita_assim_timer;Italian Assimilation In Progress;;;;;;;;;;;;x
accept_bedouin_one_title;Italianize the Bedouins!;;;;;;;;;;;;x
accept_maghrebi_one_title;Italianize the Maghrebi!;;;;;;;;;;;;x
accept_misri_one_title;Italianize the Misri!;;;;;;;;;;;;x
accept_mashriqi_one_title;Italianize the Mashriqi!;;;;;;;;;;;;x
accept_afro_asiatic_one_title;Italianize the Afro-Asiatic!;;;;;;;;;;;;x
accept_bedouin_one_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_maghrebi_one_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_misri_one_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_mashriqi_one_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_afro_asiatic_one_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R This counts as two cultures towards the three you can accept!;;;;;;;;;;;;x
accept_bedouin_two_title;Italianize the Bedouins!;;;;;;;;;;;;x
accept_maghrebi_two_title;Italianize the Maghrebi!;;;;;;;;;;;;x
accept_misri_two_title;Italianize the Misri!;;;;;;;;;;;;x
accept_mashriqi_two_title;Italianize the Mashriqi!;;;;;;;;;;;;x
accept_afro_asiatic_two_title;Italianize the Afro-Asiatic!;;;;;;;;;;;;x
accept_bedouin_two_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_maghrebi_two_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_misri_two_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_mashriqi_two_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_afro_asiatic_two_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R This counts as two cultures towards the three you can accept!;;;;;;;;;;;;x
accept_bedouin_three_title;Italianize the Bedouins!;;;;;;;;;;;;x
accept_maghrebi_three_title;Italianize the Maghrebi!;;;;;;;;;;;;x
accept_misri_three_title;Italianize the Misri!;;;;;;;;;;;;x
accept_mashriqi_three_title;Italianize the Mashriqi!;;;;;;;;;;;;x
accept_afro_asiatic_three_title;Italianize the Afro-Asiatic!;;;;;;;;;;;;x
accept_bedouin_three_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_maghrebi_three_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_misri_three_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_mashriqi_three_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire! §R Only three North African cultures can be accepted!;;;;;;;;;;;;x
accept_afro_asiatic_three_desc;The Italian colonial administration is of essential importance to the Italian state. Many political figures have seen the success in incorporating Libya as a fully fledged state and want to replicate it across the entire empire. We should accept these African people and turn our colonial holdings into a solidified empire!;;;;;;;;;;;;x
athenscouncilclaim;State Claimed in the Council of Athens;;;;;;;;;;;;x
coa_plan;Athens Partition Plan;;;;;;;;;;;;x
coa_plan_short;Athens Partition Plan;;;;;;;;;;;;x
coa_plan_setup;Partition Yugoslavia between Hungary, Bulgaria, and Italy.;;;;;;;;;;;;x
coa_call_title;Call the Council of Athens.;;;;;;;;;;;;x
coa_call_desc;Yugoslavia was never truly pacified in World War 2, but now we have the perfect opportunity to seize them! We shall call our balkan neighbors Hungary and Bulgaria to Athens to have a grand conference on the partition of Yugoslavia. §R This will cost you each 8 infamy if the plan succeeds and will give you a CB to split Yugoslavia.;;;;;;;;;;;;x
por_investment_title;National Investment in Portugal;;;;;;;;;;;;x
cat_investment_title;National Investment in Catalonia;;;;;;;;;;;;x
por_acceptance_title;National Integration in Portugal;;;;;;;;;;;;x
cat_acceptance_title;National Integration in Catalonia;;;;;;;;;;;;x
por_investment_desc;Portugal has long been an uncontent partner of the Iberian Union. We should invest in the region to dispel this discontentment.;;;;;;;;;;;;x
cat_investment_desc;Catalonia has a history of rebellion and discontent ever since the Spanish civil war. If we invest in the region we can show our good will to them and dispel this discontentment.;;;;;;;;;;;;x
por_acceptance_desc;Portugal has been successfully won over by our investments. It is time to fully integrate them into the Iberian people;;;;;;;;;;;;x
cat_acceptance_desc;Catalonia has been successfully won over by our investments. It is time to fully integrate them into the Iberian people;;;;;;;;;;;;x
cbr_revanch_title;Consolidate the Commonwealth;;;;;;;;;;;;x
cbr_revanch_desc;Since the end of World War 2 the remaining free British nations have been acting largely independently. It is time to unify them again under the Union Jack!;;;;;;;;;;;;x
nuked_1;Nuclear Devastation;;;;;;;;;;;;x
nuked_2;Nuclear Devastation;;;;;;;;;;;;x
nuked_3;Nuclear Devastation;;;;;;;;;;;;x
nuked_4;Nuclear Devastation;;;;;;;;;;;;x
nuked_5;Nuclear Devastation;;;;;;;;;;;;x
bri_integration_title;Bretagne Retaken;;;;;;;;;;;;x
bri_integration_desc;The independence movement of the Breton was nothing but a fantasy concocted by the Germans. Now that they are pacified they are ready to behave as true French People.;;;;;;;;;;;;x
alsace_title;On to Alsace-Lorraine!;;;;;;;;;;;;x
reestablish_ffl_title;Reestablish the French Foreign Legion;;;;;;;;;;;;x
reproach_cfr_title;Contact the French Colonial Administration;;;;;;;;;;;;x
alsace_desc;Now that we have reclaimed our homeland, it is time to look east again! Alsace-Lorraine may be Germanified, but it will be ours again!;;;;;;;;;;;;x
reestablish_ffl_desc;The French Foreign Legion has long been in a state is disrepair. Now that we have solidified our position in Europe it is time to open our doors again to all who wish to volunteer.;;;;;;;;;;;;x
reproach_cfr_desc;Since World War 2 the French colonial administration has been cut off and in collapse. They will be glad to hear of the Nation's recovery. §RThey are likely to say no to integration if you have a fascist party, and are guaranteed to say yes if you have puppeted them. They are likely to say yes if you don't have a fascist party.;;;;;;;;;;;;x
sov_form_rar_title;Revive the Soviet Union!;;;;;;;;;;;;x
sov_form_nkv_title;Revive the Soviet Union!;;;;;;;;;;;;x
sov_integration_title;Integrate Military Remnants;;;;;;;;;;;;x
finland_war_title;Continue the Winter War!;;;;;;;;;;;;x
sov_kazakh_ssr_title;Reestablish the Kazakh Soviet Socialist Republic;;;;;;;;;;;;x
sov_form_rar_desc;We have managed to establish ourselves as a regional power in Russia. It is time to announce ourselves as the successor to the Soviet Union!;;;;;;;;;;;;x
sov_form_nkv_desc;We have managed to establish ourselves as a regional power in Russia. It is time to announce ourselves as the successor to the Soviet Union!;;;;;;;;;;;;x
sov_integration_desc;We have come into contact with another remnant from the Great Patriotic War. We should integrate them!;;;;;;;;;;;;x
finland_war_desc;We are ready to continue the Great Patriotic War, first and foremost by expunging the Finnish mongrels that occupy Karelia!;;;;;;;;;;;;x
sov_kazakh_ssr_desc;The Kazakh's were once part of the Soviet Union. Now they shall rejoin us!;;;;;;;;;;;;x
ega_coup_title;German Administration Coup!;;;;;;;;;;;;x
ega_coup_desc;The other German administration in Africa is clearly incompetent! Our troops are in place to seize their headquarters and consolidate our rule in Africa!;;;;;;;;;;;;x
wga_coup_title;German Administration Coup!;;;;;;;;;;;;x
wga_coup_desc;The other German administration in Africa is clearly incompetent! Our troops are in place to seize their headquarters and consolidate our rule in Africa!;;;;;;;;;;;;x
cbr_britain_title;Home Coming!;;;;;;;;;;;;x
cbr_britain_desc;The Fascist British Government has been toppled! Now we must pick up the pieces and save the British people.;;;;;;;;;;;;x
request_cornwall_title;Request the return of Cornwall;;;;;;;;;;;;x
request_cornwall_desc;With the German Civil War ended, now may be opportune time to demand the return of Cornwall. After that we can focus on the unification of the rest of the isles.;;;;;;;;;;;;x
fasc_welsh_title;Restore Dominion over Wales!;;;;;;;;;;;;x
fasc_welsh_desc;In the wake of Operation Sealion Wales and Scotland declared independence and tacit support for the rising German hegemony. Now that we have asserted our place in the new German lead world it is time they return to us!;;;;;;;;;;;;x
fasc_scotland_title;Restore Dominion over Scotland!;;;;;;;;;;;;x
fasc_scotland_desc;In the wake of Operation Sealion Wales and Scotland declared independence and tacit support for the rising German hegemony. Now that we have asserted our place in the new German lead world it is time they return to us!;;;;;;;;;;;;x
fasc_ireland_title;Avenge the Protestant Counties!;;;;;;;;;;;;x
fasc_ireland_desc;We should expand into Ireland!;;;;;;;;;;;;x
demo_welsh_title;Invite Wales back into the Union.;;;;;;;;;;;;x
demo_welsh_desc;The independence movement of the Welsh was nothing but a hysterical fantasy of the aftermath of Operation Sealion. They believed that such an act would excempt them from the German horrors of German encroachment. Now that England is finally free of German influence they will be heartily welcomed back into the union.;;;;;;;;;;;;x
contact_cbr_title;Contact the British Colonial Administration;;;;;;;;;;;;x
contact_cbr_desc;Since World War 2 the British colonial administration has been cut off and in collapse. They will be glad to hear of the Nation's recovery.;;;;;;;;;;;;x
support_boers_title;Support Boer separatism.;;;;;;;;;;;;x
support_boers_desc;The former British colony to our south is a dangerous threat to our supremacy in Africa. We should support the Boer separatists when they declare their independence! §R This will make us automatically ally the Boers when they declare independence (Usually in the 70's). We will gain increasing militancy every 6 months the war lasts if we join.;;;;;;;;;;;;x
EVENT500065;To our north are our three German neighbors, waiting for the opportune moment to strike at us. Any time a Boer core we own is sieged down by rebels the province will be marked with a modifier named Open Revolt. In the early 1970's (or earlier if all Boer cores are sieged) the Boer republic will declare independence in every state that has a province with Open Revolt. They will also get some troops for every province with Open Revolt. The German dictatorships to our north will join the Boers if they have not collapsed before then.;;;;;;;;;;;;x
EVENT500066;The failure in World War 2 and the economic hardships our loss brought has lead to an increasing poverty gap between the southern and northern regions of our country. The tensions this has caused between the Afro-American and Dixie citizenry will inevitably lead to outright violence in these states. We do however have a chance to soften the impact of this. \n\n Jackson and Washington each start with their own modifiers representing racial tensions and federal desegregation efforts respectively. These will slowly spread throughout the south until every province is covered with one of them, at which point the provinces with racial tensions will fall into anarchy as racial violence erupts until military intervention arrives. \n Having a liberal party slows the spread of racial tension, while having at least 0.5% bureaucrats in a state will slow tension spread and speed up desegregation spread. \n Good luck!;;;;;;;;;;;;x
civil_unrest;Civil Unrest;;;;;;;;;;;;x
uncontrolled_lynchings;Klan Lynchings;;;;;;;;;;;;x
racial_integration;Racial Desegregation;;;;;;;;;;;;x
racial_discontent;Militant Black Nationalism;;;;;;;;;;;;x
civil_rights_movement;Home of the Civil Rights Movement;x
cultural_genocide;Cultural Genocide;;;;;;;;;;;;x
ss_division;SS Enlistment;;;;;;;;;;;;x
ss_recruitment;Native SS division;;;;;;;;;;;;x
cultural_replacement_title;Germanisation Program;;;;;;;;;;;;x
cultural_replacement_desc;We must continue the Germanisation of the Lebensraum and its settlement by the German People!;;;;;;;;;;;;x
ss_balten_title;Establish SS Balten;;;;;;;;;;;;x
ss_balten_desc;The Germanisation programs are simply not sustainable. In order to secure the Reichskommissariat we should start recruiting our security forces from the local population.;;;;;;;;;;;;x
ss_moscowen_title;Establish SS Moscowien;;;;;;;;;;;;x
ss_moscowen_desc;The Germanisation programs are simply not sustainable. In order to secure the Reichskommissariat we should start recruiting our security forces from the local population.;;;;;;;;;;;;x
ss_ukraine_title;Establish SS Ukraine;;;;;;;;;;;;x
ss_ukraine_desc;The Germanisation programs are simply not sustainable. In order to secure the Reichskommissariat we should start recruiting our security forces from the local population.;;;;;;;;;;;;x
wga_expand_title;Secure Angola!;;;;;;;;;;;;x
wga_expand_desc;The natives in Angola have recently rid themselves of Iberian rule, we should take advantage of this!;;;;;;;;;;;;x
ega_expand_title;Secure Mozambique!;;;;;;;;;;;;x
ega_expand_desc;The natives in Mozambique have recently rid themselves of Iberian rule, we should take advantage of this!;;;;;;;;;;;;x
saf_victory_title;The Boers pacified!;;;;;;;;;;;;x
saf_victory_desc;With our victory in the South African War, the Boers have been pacified and reintegrated into our country.;;;;;;;;;;;;x
make_facist;Install Fascist Dictatorship;;;;;;;;;;;x
make_facist_desc;Install a Fascist Dictatorship in a target country.;;;;;;;;;;;;x
make_facist_short;Install a Fascist Dictatorship in $RECIPIENT$.;;;;;;;;;;;;;x
make_facist_setup;Install a Fascist Dictatorship in $RECIPIENT$.;;;;;;;;;;;;x
ger_annex;Restoration of German order;;;;;;;;;;;x
ger_annex_desc;Annexes former German colony;;;;;;;;;;;;x
ger_annex_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
ger_annex_setup;Annex $RECIPIENT$;;;;;;;;;;;;x
gge_1_title;Restore order west of Prussia.;;;;;;;;;;;;x
gge_1_desc;It is time we put down the rebellious reichskommissariats in our backyard. These democracies will not stand!;;;;;;;;;;;;x
gge_2_title;Direct rule west of Prussia.;;;;;;;;;;;;x
